state,median_income,rank
mississippi,70821,50
arkansas,74536,49
west virginia,74981,48
new mexico,76143,47
louisiana,77568,46
kentucky,79436,45
alabama,80385,44
oklahoma,80611,43
south carolina,83579,42
tennessee,84212,41
florida,86127,40
north carolina,86947,39
montana,88127,38
indiana,88451,37
missouri,88759,36
idaho,89174,35
nevada,89735,34
ohio,90288,33
georgia,90337,32
michigan,90947,31
texas,91752,30
arizona,92100,29
maine,93307,28
kansas,93497,27
south dakota,93579,26
iowa,94472,25
wyoming,95206,24
nebraska,96902,23
wisconsin,97261,22
pennsylvania,97349,21
oregon,98832,20
vermont,102104,19
delaware,102219,18
north dakota,103383,17
illinois,103504,16
new york,105060,15
utah,105513,14
alaska,108134,13
rhode island,109979,12
california,110108,11
minnesota,111492,10
virginia,112146,9
washington,114068,8
colorado,114822,7
hawaii,115643,6
new hampshire,118736,5
connecticut,120011,4
new jersey,123892,3
maryland,124487,2
massachusetts,128134,1
